iter;dataset;cls;method;param;value;score;;;
5;traffic_fines_1;xgboost;PC15_agg;min_child_weight;4;0.251662116;;;
5;traffic_fines_1;xgboost;PC15_agg;subsample;0.944129699;0.251662116;;;
5;traffic_fines_1;xgboost;PC15_agg;processing_time;26.59257746;0;;;
5;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.899833147;0.503175189;;;
5;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.133512772;0.503175189;;;
5;traffic_fines_1;xgboost;PC15_agg;max_depth;9;0.503175189;;;
5;traffic_fines_1;xgboost;PC15_agg;min_child_weight;4;0.503175189;;;
5;traffic_fines_1;xgboost;PC15_agg;subsample;0.944129699;0.503175189;;;
5;traffic_fines_1;xgboost;PC15_agg;processing_time;53.17745662;0;;;
5;traffic_fines_1;xgboost;PC15_agg;colsample_bytree;0.899833147;0.753519288;;;
5;traffic_fines_1;xgboost;PC15_agg;learning_rate;0.133512772;0.753519288;;;
5;traffic_fines_1;xgboost;PC15_agg;max_depth;9;0.753519288;;;
5;traffic_fines_1;xgboost;PC15_agg;min_child_weight;4;0.753519288;;;
5;traffic_fines_1;xgboost;PC15_agg;subsample;0.944129699;0.753519288;;;
5;traffic_fines_1;xgboost;PC15_agg;processing_time;126.6867654;0;;;
