iter;dataset;cls;method;param;value;score;;;;
1;bpic2015_2_f2;llm;PC10_agg;max_depth;1;0.32048771;;;;
1;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;950;0.32048771;;;;
1;bpic2015_2_f2;llm;PC10_agg;processing_time;11.0469656;0;;;;
1;bpic2015_2_f2;llm;PC10_agg;max_depth;1;0.639558932;;;;
1;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;950;0.639558932;;;;average processing time
1;bpic2015_2_f2;llm;PC10_agg;processing_time;21.16340661;0;;;;22.37493912
1;bpic2015_2_f2;llm;PC10_agg;max_depth;1;0.952276573;;;;
1;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;950;0.952276573;;;;
1;bpic2015_2_f2;llm;PC10_agg;processing_time;32.61936998;0;;;;
2;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.304341533;;;;
2;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;430;0.304341533;;;;
2;bpic2015_2_f2;llm;PC10_agg;processing_time;13.34873366;0;;;;
2;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.624050328;;;;
2;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;430;0.624050328;;;;
2;bpic2015_2_f2;llm;PC10_agg;processing_time;22.18942451;0;;;;
2;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.936830487;;;;
2;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;430;0.936830487;;;;
2;bpic2015_2_f2;llm;PC10_agg;processing_time;34.59042573;0;;;;
3;bpic2015_2_f2;llm;PC10_agg;max_depth;1;0.320487637;;;;
3;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;310;0.320487637;;;;
3;bpic2015_2_f2;llm;PC10_agg;processing_time;10.96899414;0;;;;
3;bpic2015_2_f2;llm;PC10_agg;max_depth;1;0.639558899;;;;
3;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;310;0.639558899;;;;
3;bpic2015_2_f2;llm;PC10_agg;processing_time;20.91509652;0;;;;
3;bpic2015_2_f2;llm;PC10_agg;max_depth;1;0.952276616;;;;
3;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;310;0.952276616;;;;
3;bpic2015_2_f2;llm;PC10_agg;processing_time;32.5284555;0;;;;
4;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.304340104;;;;
4;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;190;0.304340104;;;;
4;bpic2015_2_f2;llm;PC10_agg;processing_time;13.74120402;0;;;;
4;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.624049256;;;;
4;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;190;0.624049256;;;;
4;bpic2015_2_f2;llm;PC10_agg;processing_time;23.01237464;0;;;;
4;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.936827183;;;;
4;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;190;0.936827183;;;;
4;bpic2015_2_f2;llm;PC10_agg;processing_time;35.75229645;0;;;;
5;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.304341167;;;;
5;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;900;0.304341167;;;;
5;bpic2015_2_f2;llm;PC10_agg;processing_time;14.06732059;0;;;;
5;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.62405016;;;;
5;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;900;0.62405016;;;;
5;bpic2015_2_f2;llm;PC10_agg;processing_time;23.51210904;0;;;;
5;bpic2015_2_f2;llm;PC10_agg;max_depth;2;0.936828241;;;;
5;bpic2015_2_f2;llm;PC10_agg;min_samples_leaf;900;0.936828241;;;;
5;bpic2015_2_f2;llm;PC10_agg;processing_time;36.32142615;0;;;;
