iter;dataset;cls;method;param;value;score;;;
5;traffic_fines_1;xgboost;all_agg;learning_rate;0.133512772;0.558441129;;;
5;traffic_fines_1;xgboost;all_agg;max_depth;9;0.558441129;;;
5;traffic_fines_1;xgboost;all_agg;min_child_weight;4;0.558441129;;;
5;traffic_fines_1;xgboost;all_agg;subsample;0.944129699;0.558441129;;;
5;traffic_fines_1;xgboost;all_agg;processing_time;1185.745792;0;;;
5;traffic_fines_1;xgboost;all_agg;colsample_bytree;0.899833147;0.837557487;;;
5;traffic_fines_1;xgboost;all_agg;learning_rate;0.133512772;0.837557487;;;
5;traffic_fines_1;xgboost;all_agg;max_depth;9;0.837557487;;;
5;traffic_fines_1;xgboost;all_agg;min_child_weight;4;0.837557487;;;
5;traffic_fines_1;xgboost;all_agg;subsample;0.944129699;0.837557487;;;
5;traffic_fines_1;xgboost;all_agg;processing_time;1518.435072;0;;;
